Gene stable ID	Gene start (bp)	Gene end (bp)	Transcript stable ID	Transcript start (bp)	Transcript end (bp)	Transcription start site (TSS)	Exon stable ID	Exon region start (bp)	Exon region end (bp)	Exon rank in transcript	cDNA coding start	cDNA coding end	Genomic coding start	Genomic coding end
ENSG00000004948	93424487	93574730	ENST00000426151	93424539	93574730	93574730	ENSE00001707567	93574692	93574730	1				
ENSG00000004948	93424487	93574730	ENST00000426151	93424539	93574730	93574730	ENSE00001720423	93574289	93574506	2				
ENSG00000004948	93424487	93574730	ENST00000426151	93424539	93574730	93574730	ENSE00003516190	93486931	93487007	3	284	334	93486931	93486981
ENSG00000004948	93424487	93574730	ENST00000426151	93424539	93574730	93574730	ENSE00000705318	93479354	93479507	4	335	488	93479354	93479507
ENSG00000004948	93424487	93574730	ENST00000426151	93424539	93574730	93574730	ENSE00000434237	93477558	93477668	5	489	599	93477558	93477668
ENSG00000004948	93424487	93574730	ENST00000426151	93424539	93574730	93574730	ENSE00000434238	93472375	93472487	6	600	712	93472375	93472487
ENSG00000004948	93424487	93574730	ENST00000426151	93424539	93574730	93574730	ENSE00000434239	93468715	93468806	7	713	804	93468715	93468806
ENSG00000004948	93424487	93574730	ENST00000426151	93424539	93574730	93574730	ENSE00003730112	93460821	93460947	8	805	931	93460821	93460947
ENSG00000004948	93424487	93574730	ENST00000426151	93424539	93574730	93574730	ENSE00003740488	93443604	93443757	9	932	1085	93443604	93443757
ENSG00000004948	93424487	93574730	ENST00000426151	93424539	93574730	93574730	ENSE00003570635	93438210	93438270	10	1086	1146	93438210	93438270
ENSG00000004948	93424487	93574730	ENST00000426151	93424539	93574730	93574730	ENSE00003651388	93438060	93438126	11	1147	1213	93438060	93438126
ENSG00000004948	93424487	93574730	ENST00000426151	93424539	93574730	93574730	ENSE00003690434	93435952	93436170	12	1214	1432	93435952	93436170
ENSG00000004948	93424487	93574730	ENST00000426151	93424539	93574730	93574730	ENSE00003458862	93434253	93434294	13	1433	1474	93434253	93434294
ENSG00000004948	93424487	93574730	ENST00000426151	93424539	93574730	93574730	ENSE00003840923	93424539	93426589	14	1475	1708	93426356	93426589
ENSG00000004948	93424487	93574730	ENST00000649521	93424539	93574730	93574730	ENSE00003516190	93486931	93487007	3	540	590	93486931	93486981
ENSG00000004948	93424487	93574730	ENST00000649521	93424539	93574730	93574730	ENSE00000705318	93479354	93479507	4	591	744	93479354	93479507
ENSG00000004948	93424487	93574730	ENST00000649521	93424539	93574730	93574730	ENSE00000434237	93477558	93477668	5	745	855	93477558	93477668
ENSG00000004948	93424487	93574730	ENST00000649521	93424539	93574730	93574730	ENSE00000434238	93472375	93472487	6	856	968	93472375	93472487
ENSG00000004948	93424487	93574730	ENST00000649521	93424539	93574730	93574730	ENSE00000434239	93468715	93468806	7	969	1060	93468715	93468806
ENSG00000004948	93424487	93574730	ENST00000649521	93424539	93574730	93574730	ENSE00003730112	93460821	93460947	9	1109	1235	93460821	93460947
ENSG00000004948	93424487	93574730	ENST00000649521	93424539	93574730	93574730	ENSE00003740488	93443604	93443757	10	1236	1389	93443604	93443757
ENSG00000004948	93424487	93574730	ENST00000649521	93424539	93574730	93574730	ENSE00003570635	93438210	93438270	11	1390	1450	93438210	93438270
ENSG00000004948	93424487	93574730	ENST00000649521	93424539	93574730	93574730	ENSE00003651388	93438060	93438126	12	1451	1517	93438060	93438126
ENSG00000004948	93424487	93574730	ENST00000649521	93424539	93574730	93574730	ENSE00003690434	93435952	93436170	13	1518	1736	93435952	93436170
ENSG00000004948	93424487	93574730	ENST00000649521	93424539	93574730	93574730	ENSE00003458862	93434253	93434294	14	1737	1778	93434253	93434294
ENSG00000004948	93424487	93574730	ENST00000649521	93424539	93574730	93574730	ENSE00003840923	93424539	93426589	15	1779	2012	93426356	93426589
ENSG00000004948	93424487	93574730	ENST00000649521	93424539	93574730	93574730	ENSE00003833296	93574289	93574730	1				
ENSG00000004948	93424487	93574730	ENST00000649521	93424539	93574730	93574730	ENSE00003612035	93495904	93495974	2				
ENSG00000004948	93424487	93574730	ENST00000649521	93424539	93574730	93574730	ENSE00000705313	93462063	93462110	8	1061	1108	93462063	93462110
ENSG00000004948	93424487	93574730	ENST00000394441	93426323	93559810	93559810	ENSE00003516190	93486931	93487007	2	317	367	93486931	93486981
ENSG00000004948	93424487	93574730	ENST00000394441	93426323	93559810	93559810	ENSE00000705318	93479354	93479507	3	368	521	93479354	93479507
ENSG00000004948	93424487	93574730	ENST00000394441	93426323	93559810	93559810	ENSE00000434237	93477558	93477668	4	522	632	93477558	93477668
ENSG00000004948	93424487	93574730	ENST00000394441	93426323	93559810	93559810	ENSE00000434238	93472375	93472487	5	633	745	93472375	93472487
ENSG00000004948	93424487	93574730	ENST00000394441	93426323	93559810	93559810	ENSE00000434239	93468715	93468806	6	746	837	93468715	93468806
ENSG00000004948	93424487	93574730	ENST00000394441	93426323	93559810	93559810	ENSE00003730112	93460821	93460947	7	838	964	93460821	93460947
ENSG00000004948	93424487	93574730	ENST00000394441	93426323	93559810	93559810	ENSE00003740488	93443604	93443757	8	965	1118	93443604	93443757
ENSG00000004948	93424487	93574730	ENST00000394441	93426323	93559810	93559810	ENSE00003570635	93438210	93438270	9	1119	1179	93438210	93438270
ENSG00000004948	93424487	93574730	ENST00000394441	93426323	93559810	93559810	ENSE00003651388	93438060	93438126	10	1180	1246	93438060	93438126
ENSG00000004948	93424487	93574730	ENST00000394441	93426323	93559810	93559810	ENSE00003690434	93435952	93436170	11	1247	1465	93435952	93436170
ENSG00000004948	93424487	93574730	ENST00000394441	93426323	93559810	93559810	ENSE00003458862	93434253	93434294	12	1466	1507	93434253	93434294
ENSG00000004948	93424487	93574730	ENST00000394441	93426323	93559810	93559810	ENSE00001518467	93559521	93559810	1				
ENSG00000004948	93424487	93574730	ENST00000394441	93426323	93559810	93559810	ENSE00001031654	93426323	93426589	13	1508	1741	93426356	93426589
ENSG00000004948	93424487	93574730	ENST00000423724	93426356	93486981	93486981	ENSE00000705318	93479354	93479507	2	52	205	93479354	93479507
ENSG00000004948	93424487	93574730	ENST00000423724	93426356	93486981	93486981	ENSE00000434237	93477558	93477668	3	206	316	93477558	93477668
ENSG00000004948	93424487	93574730	ENST00000423724	93426356	93486981	93486981	ENSE00000434238	93472375	93472487	4	317	429	93472375	93472487
ENSG00000004948	93424487	93574730	ENST00000423724	93426356	93486981	93486981	ENSE00000434239	93468715	93468806	5	430	521	93468715	93468806
ENSG00000004948	93424487	93574730	ENST00000423724	93426356	93486981	93486981	ENSE00003730112	93460821	93460947	7	570	696	93460821	93460947
ENSG00000004948	93424487	93574730	ENST00000423724	93426356	93486981	93486981	ENSE00003740488	93443604	93443757	8	697	850	93443604	93443757
ENSG00000004948	93424487	93574730	ENST00000423724	93426356	93486981	93486981	ENSE00000705313	93462063	93462110	6	522	569	93462063	93462110
ENSG00000004948	93424487	93574730	ENST00000423724	93426356	93486981	93486981	ENSE00001704392	93486931	93486981	1	1	51	93486931	93486981
ENSG00000004948	93424487	93574730	ENST00000423724	93426356	93486981	93486981	ENSE00001672837	93441500	93441549	9	851	873	93441527	93441549
ENSG00000004948	93424487	93574730	ENST00000423724	93426356	93486981	93486981	ENSE00003592696	93438210	93438270	10				
ENSG00000004948	93424487	93574730	ENST00000423724	93426356	93486981	93486981	ENSE00003588749	93438060	93438126	11				
ENSG00000004948	93424487	93574730	ENST00000423724	93426356	93486981	93486981	ENSE00003489052	93435952	93436170	12				
ENSG00000004948	93424487	93574730	ENST00000423724	93426356	93486981	93486981	ENSE00003559358	93434253	93434294	13				
ENSG00000004948	93424487	93574730	ENST00000423724	93426356	93486981	93486981	ENSE00001648701	93426356	93426589	14				
ENSG00000004948	93424487	93574730	ENST00000415529	93426356	93486981	93486981	ENSE00000705318	93479354	93479507	2	52	205	93479354	93479507
ENSG00000004948	93424487	93574730	ENST00000415529	93426356	93486981	93486981	ENSE00000434237	93477558	93477668	3	206	316	93477558	93477668
ENSG00000004948	93424487	93574730	ENST00000415529	93426356	93486981	93486981	ENSE00000434238	93472375	93472487	4	317	429	93472375	93472487
ENSG00000004948	93424487	93574730	ENST00000415529	93426356	93486981	93486981	ENSE00000434239	93468715	93468806	5	430	521	93468715	93468806
ENSG00000004948	93424487	93574730	ENST00000415529	93426356	93486981	93486981	ENSE00003730112	93460821	93460947	6	522	648	93460821	93460947
ENSG00000004948	93424487	93574730	ENST00000415529	93426356	93486981	93486981	ENSE00003740488	93443604	93443757	7	649	802	93443604	93443757
ENSG00000004948	93424487	93574730	ENST00000415529	93426356	93486981	93486981	ENSE00001704392	93486931	93486981	1	1	51	93486931	93486981
ENSG00000004948	93424487	93574730	ENST00000415529	93426356	93486981	93486981	ENSE00001672837	93441500	93441549	8	803	825	93441527	93441549
ENSG00000004948	93424487	93574730	ENST00000415529	93426356	93486981	93486981	ENSE00003592696	93438210	93438270	9				
ENSG00000004948	93424487	93574730	ENST00000415529	93426356	93486981	93486981	ENSE00003588749	93438060	93438126	10				
ENSG00000004948	93424487	93574730	ENST00000415529	93426356	93486981	93486981	ENSE00003489052	93435952	93436170	11				
ENSG00000004948	93424487	93574730	ENST00000415529	93426356	93486981	93486981	ENSE00003559358	93434253	93434294	12				
ENSG00000004948	93424487	93574730	ENST00000415529	93426356	93486981	93486981	ENSE00001648701	93426356	93426589	13				
ENSG00000004948	93424487	93574730	ENST00000359558	93424487	93574730	93574730	ENSE00001707567	93574692	93574730	1				
ENSG00000004948	93424487	93574730	ENST00000359558	93424487	93574730	93574730	ENSE00001720423	93574289	93574506	2				
ENSG00000004948	93424487	93574730	ENST00000359558	93424487	93574730	93574730	ENSE00000705318	93479354	93479507	5	406	559	93479354	93479507
ENSG00000004948	93424487	93574730	ENST00000359558	93424487	93574730	93574730	ENSE00000434237	93477558	93477668	6	560	670	93477558	93477668
ENSG00000004948	93424487	93574730	ENST00000359558	93424487	93574730	93574730	ENSE00000434238	93472375	93472487	7	671	783	93472375	93472487
ENSG00000004948	93424487	93574730	ENST00000359558	93424487	93574730	93574730	ENSE00000434239	93468715	93468806	8	784	875	93468715	93468806
ENSG00000004948	93424487	93574730	ENST00000359558	93424487	93574730	93574730	ENSE00003730112	93460821	93460947	10	924	1050	93460821	93460947
ENSG00000004948	93424487	93574730	ENST00000359558	93424487	93574730	93574730	ENSE00003740488	93443604	93443757	11	1051	1204	93443604	93443757
ENSG00000004948	93424487	93574730	ENST00000359558	93424487	93574730	93574730	ENSE00003570635	93438210	93438270	12	1205	1265	93438210	93438270
